Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
LA%,226,1.072 [1.048-1.098],0.001,**,Linoleic Acid to Total-Fatty Acids percentage
Omega-6/Omega-3,257,1.042 [1.030-1.054],1.719e-06,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
S-HDL-PL%,367,1.027 [1.012-1.043],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
XL-VLDL-TG%,444,1.020 [0.997-1.044],1.000,,Triglycerides to Total-Lipids in Very Large VLDL percentage
XL-HDL-FC%,547,1.004 [0.986-1.021],1.000,,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Omega-3%,215,0.960 [0.948-0.971],4.891e-06,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Unsaturation,310,0.958 [0.945-0.972],4.733e-04,***,Degree of Unsaturation
DHA,289,0.948 [0.931-0.965],0.001,**,Docosahexaenoic Acid
Omega-3,420,0.948 [0.931-0.965],5.482e-04,***,Omega-3 Fatty Acids
DHA%,240,0.946 [0.929-0.962],7.398e-05,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
Total-FA,654,0.941 [0.919-0.962],0.042,*,Total-Fatty Acids
Omega-6,651,0.936 [0.914-0.958],0.009,**,Omega-6 Fatty Acids
PUFA,699,0.931 [0.911-0.951],7.958e-06,***,Polyunsaturated Fatty Acids
GlycA,385,0.892 [0.858-0.927],0.002,**,Glycoprotein Acetyls
