Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-LDL-FC%,651,1.158 [1.052-1.274],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Gly,134,1.126 [1.000-1.267],1.000,,Glycine
M-VLDL-CE%,597,1.124 [1.013-1.248],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
S-VLDL-PL%,600,1.073 [0.973-1.184],1.000,,Phospholipids to Total-Lipids in Small VLDL percentage
LA,635,1.047 [0.940-1.167],1.000,,Linoleic Acid
M-VLDL-P,612,0.997 [0.899-1.107],1.000,,Concentration of Medium VLDL Particles
Total-FA,654,0.989 [0.893-1.096],1.000,,Total-Fatty Acids
XL-HDL-TG,489,0.984 [0.912-1.061],1.000,,Triglycerides in Very Large HDL
XL-VLDL-PL%,398,0.977 [0.860-1.111],1.000,,Phospholipids to Total-Lipids in Very Large VLDL percentage
S-HDL-TG%,677,0.846 [0.773-0.926],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
