Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-VLDL-TG%,564,1.077 [1.045-1.111],0.388,,Triglycerides to Total-Lipids in Small VLDL percentage
XS-VLDL-TG%,661,1.065 [1.034-1.097],1.000,,Triglycerides to Total-Lipids in Very Small VLDL percentage
XL-HDL-FC%,547,1.007 [0.982-1.033],1.000,,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XL-VLDL-C,639,1.004 [0.974-1.034],1.000,,Cholesterol in Very Large VLDL
L-HDL-CE%,562,1.001 [0.970-1.034],1.000,,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-LDL-C%,225,0.986 [0.940-1.035],1.000,,Cholesterol to Total-Lipids in Medium LDL percentage
LDL-CE,506,0.972 [0.941-1.004],1.000,,Cholesteryl Esters in LDL
S-LDL-C,489,0.960 [0.930-0.991],1.000,,Cholesterol in Small LDL
Tyr,120,0.916 [0.850-0.989],1.000,,Tyrosine
Phe,17,0.878 [0.721-1.068],1.000,,Phenylalanine
