Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
LA%,226,1.233 [1.146-1.327],0.005,**,Linoleic Acid to Total-Fatty Acids percentage
M-HDL-PL%,489,1.178 [1.104-1.258],0.222,,Phospholipids to Total-Lipids in Medium HDL percentage
Omega-6/Omega-3,257,1.132 [1.087-1.179],5.541e-04,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XS-VLDL-TG%,661,1.021 [0.958-1.088],1.000,,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-VLDL-L,665,1.019 [0.956-1.086],1.000,,Total-Lipids in Small VLDL
Omega-3,420,0.895 [0.858-0.934],0.056,,Omega-3 Fatty Acids
Omega-3%,215,0.883 [0.847-0.920],0.001,**,Omega-3 Fatty Acids to Total-Fatty Acids percentage
DHA,289,0.865 [0.823-0.909],0.003,**,Docosahexaenoic Acid
Unsaturation,310,0.862 [0.825-0.901],1.111e-05,***,Degree of Unsaturation
DHA%,240,0.848 [0.798-0.901],0.020,*,Docosahexaenoic Acid to Total-Fatty Acids percentage
