Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XL-HDL-TG%,642,1.082 [1.029-1.139],1.000,,Triglycerides to Total-Lipids in Very Large HDL percentage
VLDL-size,604,1.042 [0.990-1.096],1.000,,Average Diameter for VLDL Particles
S-LDL-PL,409,1.034 [0.982-1.089],1.000,,Phospholipids in Small LDL
L-VLDL-CE%,492,1.031 [0.973-1.094],1.000,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
XS-VLDL-C,604,1.028 [0.982-1.076],1.000,,Cholesterol in Very Small VLDL
Total-C,563,0.995 [0.940-1.052],1.000,,Total-Cholesterol
Omega-3%,215,0.992 [0.959-1.026],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
PUFA/MUFA,484,0.962 [0.911-1.014],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
S-HDL-PL%,367,0.948 [0.894-1.005],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
L-VLDL-TG%,369,0.929 [0.881-0.978],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
