Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Acetone,15,3.349 [0.691-16.227],1.000,,Acetone
Glu,32,1.232 [0.471-3.218],1.000,,Glucose
Ala,85,1.096 [0.649-1.849],1.000,,Alanine
S-HDL-FC%,491,1.032 [0.912-1.168],1.000,,Free Cholesterol to Total-Lipids in Small HDL percentage
XS-VLDL-PL,635,1.007 [0.878-1.154],1.000,,Phospholipids in Very Small VLDL
M-VLDL-CE%,597,0.988 [0.822-1.188],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
LDL-TG,630,0.956 [0.820-1.115],1.000,,Triglycerides in LDL
ApoB,565,0.921 [0.778-1.091],1.000,,Apolipoprotein B
Total-C,563,0.921 [0.771-1.100],1.000,,Total-Cholesterol
Acetate,13,0.424 [0.084-2.145],1.000,,Acetate
