Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-HDL-P,598,1.076 [1.023-1.132],1.000,,Concentration of Medium HDL Particles
SM,547,1.050 [0.997-1.106],1.000,,Sphingomyelins
Total-PL,628,1.050 [0.998-1.104],1.000,,Total-Phospholipids in Lipoprotein Particles
M-VLDL-C%,604,1.040 [0.992-1.090],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
S-HDL-C%,436,1.016 [0.973-1.061],1.000,,Cholesterol to Total-Lipids in Small HDL percentage
M-LDL-P,508,0.980 [0.923-1.040],1.000,,Concentration of Medium LDL Particles
S-VLDL-C,618,0.962 [0.916-1.011],1.000,,Cholesterol in Small VLDL
XXL-VLDL-CE,621,0.962 [0.920-1.006],1.000,,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
3-Hydroxybutyrate,68,0.942 [0.791-1.122],1.000,,3-Hydroxybutyrate
L-HDL-TG%,637,0.942 [0.906-0.979],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
