Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
HDL-L,598,1.078 [1.025-1.134],1.000,,Total-Lipids in HDL
L-HDL-C,671,1.063 [1.015-1.113],1.000,,Cholesterol in Large HDL
S-LDL-PL%,510,1.032 [0.980-1.087],1.000,,Phospholipids to Total-Lipids in Small LDL percentage
Total-BCAA,38,1.031 [0.826-1.287],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
XL-VLDL-TG%,444,1.012 [0.948-1.080],1.000,,Triglycerides to Total-Lipids in Very Large VLDL percentage
M-VLDL-CE,487,0.960 [0.909-1.013],1.000,,Cholesteryl Esters in Medium VLDL
S-HDL-C,410,0.957 [0.900-1.018],1.000,,Cholesterol in Small HDL
ApoB,565,0.954 [0.909-1.001],1.000,,Apolipoprotein B
Creatinine,126,0.910 [0.758-1.093],1.000,,Creatinine
3-Hydroxybutyrate,68,0.535 [0.421-0.679],0.066,,3-Hydroxybutyrate
