Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XXL-VLDL-FC%,173,1.096 [0.975-1.232],1.000,,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-HDL-C,671,1.064 [1.000-1.132],1.000,,Cholesterol in Large HDL
LA%,226,1.037 [0.950-1.131],1.000,,Linoleic Acid to Total-Fatty Acids percentage
XXL-VLDL-FC,557,1.006 [0.934-1.083],1.000,,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XL-HDL-CE%,259,1.004 [0.924-1.091],1.000,,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-LDL-C,488,0.993 [0.920-1.071],1.000,,Cholesterol in Large LDL
L-LDL-PL,492,0.989 [0.916-1.068],1.000,,Phospholipids in Large LDL
XXL-VLDL-TG%,153,0.985 [0.886-1.094],1.000,,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
MUFA,654,0.961 [0.895-1.031],1.000,,Monounsaturated Fatty Acids
XL-HDL-FC%,547,0.935 [0.878-0.995],1.000,,Free Cholesterol to Total-Lipids in Very Large HDL percentage
