Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Acetate,13,2.181 [1.315-3.616],1.000,,Acetate
Tyr,120,1.362 [1.196-1.552],0.804,,Tyrosine
His,43,1.115 [0.901-1.381],1.000,,Histidine
LA%,226,1.071 [1.014-1.132],1.000,,Linoleic Acid to Total-Fatty Acids percentage
IDL-PL%,289,1.004 [0.953-1.058],1.000,,Phospholipids to Total-Lipids in IDL percentage
XL-HDL-TG%,642,0.994 [0.948-1.041],1.000,,Triglycerides to Total-Lipids in Very Large HDL percentage
L-HDL-FC%,532,0.974 [0.938-1.012],1.000,,Free Cholesterol to Total-Lipids in Large HDL percentage
M-LDL-CE,550,0.972 [0.923-1.024],1.000,,Cholesteryl Esters in Medium LDL
L-LDL-CE%,344,0.971 [0.910-1.037],1.000,,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Albumin,72,0.913 [0.741-1.125],1.000,,Albumin
