Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Albumin,72,1.368 [1.199-1.561],0.753,,Albumin
Omega-6/Omega-3,257,1.116 [1.085-1.147],3.220e-09,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
L-LDL-PL%,382,1.034 [1.003-1.065],1.000,,Phospholipids to Total-Lipids in Large LDL percentage
XXL-VLDL-PL,556,1.019 [0.979-1.061],1.000,,Phospholipids in Chylomicrons and Extremely Large VLDL
M-HDL-CE%,557,1.015 [0.981-1.050],1.000,,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
Unsaturation,310,0.902 [0.873-0.931],5.757e-05,***,Degree of Unsaturation
Omega-3%,215,0.900 [0.875-0.926],6.449e-08,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Omega-3,420,0.894 [0.874-0.914],1.873e-17,***,Omega-3 Fatty Acids
DHA,289,0.887 [0.859-0.916],6.966e-08,***,Docosahexaenoic Acid
DHA%,240,0.880 [0.844-0.918],8.318e-04,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
