Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Acetoacetate,15,1.212 [0.624-2.356],1.000,,Acetoacetate
IDL-FC%,332,1.186 [1.051-1.339],1.000,,Free Cholesterol to Total-Lipids in IDL percentage
L-LDL-C%,403,1.049 [0.942-1.169],1.000,,Cholesterol to Total-Lipids in Large LDL percentage
L-VLDL-C%,395,1.040 [0.933-1.160],1.000,,Cholesterol to Total-Lipids in Large VLDL percentage
S-HDL-PL%,367,1.029 [0.933-1.136],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
Total-FA,654,0.779 [0.709-0.857],0.069,,Total-Fatty Acids
Omega-6,651,0.772 [0.699-0.852],0.070,,Omega-6 Fatty Acids
MUFA,654,0.733 [0.666-0.806],4.388e-05,***,Monounsaturated Fatty Acids
LA,635,0.724 [0.655-0.800],5.750e-05,***,Linoleic Acid
GlycA,385,0.621 [0.531-0.726],5.356e-04,***,Glycoprotein Acetyls
