Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
L-LDL-CE%,344,1.515 [1.300-1.765],0.024,*,Cholesteryl Esters to Total-Lipids in Large LDL percentage
L-LDL-FC,474,1.447 [1.302-1.607],1.447e-06,***,Free Cholesterol in Large LDL
Clinical LDL-C,463,1.446 [1.300-1.607],2.328e-06,***,Clinical LDL Cholesterol
LDL-PL,473,1.441 [1.301-1.595],4.495e-07,***,Phospholipids in LDL
LDL-FC,411,1.439 [1.294-1.602],5.641e-06,***,Free Cholesterol in LDL
LDL-C,476,1.436 [1.294-1.593],1.980e-06,***,LDL Cholesterol
L-LDL-PL,492,1.434 [1.290-1.593],4.819e-06,***,Phospholipids in Large LDL
L-LDL-C,488,1.432 [1.293-1.586],1.449e-06,***,Cholesterol in Large LDL
M-LDL-FC,407,1.431 [1.283-1.596],3.127e-05,***,Free Cholesterol in Medium LDL
S-LDL-C,489,1.427 [1.288-1.582],3.165e-06,***,Cholesterol in Small LDL
M-LDL-PL,492,1.425 [1.283-1.583],9.975e-06,***,Phospholipids in Medium LDL
LDL-CE,506,1.424 [1.285-1.577],3.261e-06,***,Cholesteryl Esters in LDL
S-LDL-L,511,1.423 [1.289-1.570],5.722e-07,***,Total-Lipids in Small LDL
L-LDL-CE,502,1.421 [1.283-1.573],3.262e-06,***,Cholesteryl Esters in Large LDL
L-LDL-L,508,1.419 [1.285-1.568],1.451e-06,***,Total-Lipids in Large LDL
LDL-L,502,1.418 [1.281-1.569],3.496e-06,***,Total-Lipids in LDL
S-LDL-FC,410,1.416 [1.281-1.564],2.164e-06,***,Free Cholesterol in Small LDL
S-LDL-CE,543,1.416 [1.282-1.564],1.829e-06,***,Cholesteryl Esters in Small LDL
S-LDL-PL,409,1.413 [1.280-1.560],1.941e-06,***,Phospholipids in Small LDL
M-LDL-L,531,1.411 [1.275-1.563],8.028e-06,***,Total-Lipids in Medium LDL
M-LDL-C,525,1.406 [1.267-1.559],3.093e-05,***,Cholesterol in Medium LDL
M-LDL-P,508,1.404 [1.263-1.561],7.384e-05,***,Concentration of Medium LDL Particles
M-LDL-CE,550,1.396 [1.261-1.546],3.628e-05,***,Cholesteryl Esters in Medium LDL
M-VLDL-CE,487,1.386 [1.243-1.545],9.025e-04,***,Cholesteryl Esters in Medium VLDL
S-LDL-P,566,1.385 [1.255-1.527],1.928e-05,***,Concentration of Small LDL Particles
L-LDL-P,541,1.373 [1.247-1.511],2.303e-05,***,Concentration of Large LDL Particles
L-LDL-C%,403,1.369 [1.230-1.523],0.002,**,Cholesterol to Total-Lipids in Large LDL percentage
Non-HDL-C,563,1.366 [1.239-1.506],8.921e-05,***,Total-Cholesterol Minus HDL-C
IDL-CE,553,1.362 [1.233-1.504],2.703e-04,***,Cholesteryl Esters in IDL
LDL-P,552,1.360 [1.236-1.496],6.225e-05,***,Concentration of LDL Particles
Total-CE,575,1.359 [1.228-1.504],6.582e-04,***,Total-Esterified Cholesterol
Total-C,563,1.359 [1.229-1.502],5.099e-04,***,Total-Cholesterol
IDL-P,505,1.350 [1.219-1.495],0.002,**,Concentration of IDL Particles
IDL-C,568,1.349 [1.224-1.487],4.116e-04,***,Cholesterol in IDL
Total-FC,546,1.349 [1.224-1.487],4.381e-04,***,Total-Free Cholesterol
Total-L,626,1.346 [1.224-1.480],2.012e-04,***,Total-Lipids in Lipoprotein Particles
M-VLDL-C,535,1.343 [1.214-1.485],0.002,**,Cholesterol in Medium VLDL
ApoB,565,1.341 [1.220-1.474],2.926e-04,***,Apolipoprotein B
IDL-L,573,1.323 [1.207-1.450],6.081e-04,***,Total-Lipids in IDL
IDL-FC,587,1.317 [1.197-1.449],0.004,**,Free Cholesterol in IDL
Omega-6,651,1.311 [1.197-1.437],0.002,**,Omega-6 Fatty Acids
Total-FA,654,1.308 [1.199-1.427],3.794e-04,***,Total-Fatty Acids
Remnant-C,577,1.304 [1.187-1.433],0.008,**,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-VLDL-L,589,1.302 [1.181-1.437],0.032,*,Total-Lipids in Medium VLDL
S-VLDL-FC,593,1.301 [1.185-1.429],0.008,**,Free Cholesterol in Small VLDL
LA,635,1.301 [1.184-1.430],0.012,*,Linoleic Acid
M-VLDL-FC,594,1.299 [1.181-1.429],0.019,*,Free Cholesterol in Medium VLDL
M-VLDL-P,612,1.297 [1.180-1.426],0.017,*,Concentration of Medium VLDL Particles
PUFA,699,1.287 [1.188-1.394],1.449e-04,***,Polyunsaturated Fatty Acids
M-VLDL-PL,632,1.286 [1.172-1.412],0.028,*,Phospholipids in Medium VLDL
IDL-PL,591,1.271 [1.164-1.388],0.022,*,Phospholipids in IDL
M-HDL-CE%,557,0.978 [0.905-1.058],1.000,,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
XL-VLDL-C%,486,0.944 [0.837-1.063],1.000,,Cholesterol to Total-Lipids in Very Large VLDL percentage
Val,50,0.854 [0.659-1.108],1.000,,Valine
XXL-VLDL-C%,176,0.834 [0.734-0.948],1.000,,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-HDL-PL%,508,0.819 [0.729-0.920],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
