Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-VLDL-PL,664,1.070 [0.983-1.165],1.000,,Phospholipids in Small VLDL
HDL-C,621,1.056 [0.982-1.135],1.000,,HDL Cholesterol
HDL-CE,611,1.040 [0.967-1.118],1.000,,Cholesteryl Esters in HDL
VLDL-L,623,1.010 [0.919-1.110],1.000,,Total-Lipids in VLDL
L-LDL-PL,492,1.005 [0.912-1.108],1.000,,Phospholipids in Large LDL
M-VLDL-CE,487,0.992 [0.900-1.093],1.000,,Cholesteryl Esters in Medium VLDL
L-VLDL-TG,567,0.962 [0.873-1.059],1.000,,Triglycerides in Large VLDL
ApoB/ApoA1,542,0.952 [0.874-1.038],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
XXL-VLDL-TG,472,0.939 [0.849-1.039],1.000,,Triglycerides in Chylomicrons and Extremely Large VLDL
XXL-VLDL-CE%,176,0.936 [0.816-1.073],1.000,,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
