Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XL-HDL-PL%,441,1.048 [0.998-1.101],1.000,,Phospholipids to Total-Lipids in Very Large HDL percentage
L-HDL-FC,638,1.045 [1.001-1.091],1.000,,Free Cholesterol in Large HDL
M-HDL-P,598,1.041 [0.983-1.104],1.000,,Concentration of Medium HDL Particles
XS-VLDL-CE%,644,1.031 [0.974-1.092],1.000,,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
L-VLDL-CE%,492,1.029 [0.964-1.099],1.000,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
Phosphoglyc,609,0.980 [0.925-1.039],1.000,,Phosphoglycerides
Total-PL,628,0.966 [0.910-1.024],1.000,,Total-Phospholipids in Lipoprotein Particles
SFA,553,0.963 [0.908-1.020],1.000,,Saturated Fatty Acids
XL-VLDL-TG,570,0.962 [0.901-1.027],1.000,,Triglycerides in Very Large VLDL
Total-FA,654,0.931 [0.881-0.985],1.000,,Total-Fatty Acids
