Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
LA%,226,1.148 [1.089-1.210],0.066,,Linoleic Acid to Total-Fatty Acids percentage
Omega-6/Omega-3,257,1.102 [1.069-1.137],1.606e-04,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
LDL-size,178,1.021 [0.940-1.110],1.000,,Average Diameter for LDL Particles
Ala,85,1.010 [0.905-1.127],1.000,,Alanine
XXL-VLDL-C%,176,1.005 [0.946-1.067],1.000,,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Omega-3%,215,0.910 [0.881-0.940],0.003,**,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Unsaturation,310,0.908 [0.880-0.937],2.713e-04,***,Degree of Unsaturation
Omega-3,420,0.906 [0.880-0.933],1.060e-05,***,Omega-3 Fatty Acids
DHA,289,0.893 [0.859-0.928],0.003,**,Docosahexaenoic Acid
DHA%,240,0.887 [0.852-0.923],0.001,**,Docosahexaenoic Acid to Total-Fatty Acids percentage
