Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Phe,17,1.696 [0.404-7.116],1.000,,Phenylalanine
IDL-PL,591,1.191 [0.960-1.477],1.000,,Phospholipids in IDL
XXL-VLDL-FC%,173,1.182 [0.822-1.701],1.000,,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-HDL-C,607,1.053 [0.835-1.328],1.000,,Cholesterol in Medium HDL
S-HDL-FC%,491,1.044 [0.889-1.224],1.000,,Free Cholesterol to Total-Lipids in Small HDL percentage
PUFA,699,0.999 [0.823-1.214],1.000,,Polyunsaturated Fatty Acids
HDL-L,598,0.977 [0.791-1.208],1.000,,Total-Lipids in HDL
XL-VLDL-PL%,398,0.915 [0.705-1.188],1.000,,Phospholipids to Total-Lipids in Very Large VLDL percentage
SFA,553,0.880 [0.698-1.109],1.000,,Saturated Fatty Acids
XXL-VLDL-CE,621,0.785 [0.631-0.976],1.000,,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
