Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XXL-VLDL-TG%,153,1.103 [1.004-1.213],1.000,,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Total-BCAA,38,1.080 [0.800-1.457],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
S-VLDL-TG,687,1.043 [0.959-1.134],1.000,,Triglycerides in Small VLDL
L-VLDL-TG,567,1.030 [0.943-1.125],1.000,,Triglycerides in Large VLDL
LDL-TG,630,1.017 [0.941-1.100],1.000,,Triglycerides in LDL
XL-VLDL-P,599,0.993 [0.914-1.079],1.000,,Concentration of Very Large VLDL Particles
HDL-PL,590,0.966 [0.885-1.055],1.000,,Phospholipids in HDL
XS-VLDL-FC%,460,0.855 [0.777-0.941],1.000,,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Non-HDL-C,563,0.812 [0.744-0.886],0.664,,Total-Cholesterol Minus HDL-C
S-LDL-C%,261,0.786 [0.710-0.870],0.862,,Cholesterol to Total-Lipids in Small LDL percentage
