Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XS-VLDL-TG,678,1.126 [1.016-1.248],1.000,,Triglycerides in Very Small VLDL
L-VLDL-PL,637,1.118 [0.981-1.273],1.000,,Phospholipids in Large VLDL
L-VLDL-TG,567,1.108 [0.963-1.275],1.000,,Triglycerides in Large VLDL
L-HDL-TG,449,1.067 [0.970-1.172],1.000,,Triglycerides in Large HDL
XL-HDL-L,598,1.005 [0.899-1.123],1.000,,Total-Lipids in Very Large HDL
IDL-PL,591,0.985 [0.872-1.112],1.000,,Phospholipids in IDL
S-HDL-CE%,367,0.927 [0.829-1.037],1.000,,Cholesteryl Esters to Total-Lipids in Small HDL percentage
PUFA%,371,0.891 [0.749-1.060],1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Val,50,0.863 [0.508-1.467],1.000,,Valine
M-VLDL-C%,604,0.843 [0.731-0.971],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
