Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Creatinine,126,1.201 [0.983-1.467],1.000,,Creatinine
XL-VLDL-C%,486,1.044 [0.976-1.117],1.000,,Cholesterol to Total-Lipids in Very Large VLDL percentage
M-HDL-C%,632,1.024 [0.972-1.078],1.000,,Cholesterol to Total-Lipids in Medium HDL percentage
M-HDL-CE%,557,1.020 [0.969-1.073],1.000,,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
L-LDL-TG%,474,1.008 [0.960-1.058],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
S-HDL-FC,483,0.827 [0.775-0.883],0.003,**,Free Cholesterol in Small HDL
S-HDL-C,410,0.813 [0.760-0.869],3.316e-04,***,Cholesterol in Small HDL
S-HDL-PL,489,0.802 [0.751-0.856],1.007e-05,***,Phospholipids in Small HDL
S-HDL-P,416,0.794 [0.743-0.847],1.108e-06,***,Concentration of Small HDL Particles
S-HDL-L,442,0.785 [0.735-0.839],1.942e-07,***,Total-Lipids in Small HDL
