Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
PUFA%,371,1.339 [1.194-1.501],0.141,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
PUFA/MUFA,484,1.234 [1.133-1.344],0.340,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
DHA,289,1.102 [1.021-1.188],1.000,,Docosahexaenoic Acid
S-HDL-C,410,1.078 [0.961-1.209],1.000,,Cholesterol in Small HDL
S-HDL-FC,483,1.071 [0.964-1.190],1.000,,Free Cholesterol in Small HDL
Total-C,563,0.889 [0.816-0.970],1.000,,Total-Cholesterol
M-VLDL-TG,613,0.863 [0.794-0.938],1.000,,Triglycerides in Medium VLDL
VLDL-TG,582,0.825 [0.760-0.895],1.000,,Triglycerides in VLDL
XL-VLDL-L,578,0.815 [0.750-0.887],0.447,,Total-Lipids in Very Large VLDL
Gly,134,0.747 [0.686-0.814],5.668e-06,***,Glycine
