Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-LDL-C,489,1.044 [0.992-1.099],1.000,,Cholesterol in Small LDL
L-HDL-C%,622,1.030 [0.984-1.079],1.000,,Cholesterol to Total-Lipids in Large HDL percentage
VLDL-TG,582,1.021 [0.969-1.076],1.000,,Triglycerides in VLDL
M-LDL-FC%,651,1.014 [0.969-1.062],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
XL-VLDL-TG%,444,1.002 [0.945-1.064],1.000,,Triglycerides to Total-Lipids in Very Large VLDL percentage
M-HDL-L,576,0.864 [0.814-0.917],0.355,,Total-Lipids in Medium HDL
M-HDL-PL,545,0.858 [0.807-0.911],0.142,,Phospholipids in Medium HDL
S-HDL-L,442,0.836 [0.776-0.901],0.742,,Total-Lipids in Small HDL
S-HDL-FC,483,0.836 [0.779-0.897],0.135,,Free Cholesterol in Small HDL
S-HDL-PL,489,0.823 [0.766-0.883],0.019,*,Phospholipids in Small HDL
