Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
PUFA/MUFA,484,1.250 [1.143-1.367],0.231,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
XL-VLDL-FC%,397,1.121 [0.995-1.263],1.000,,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
Omega-6%,366,1.081 [0.932-1.254],1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
Omega-3,420,1.065 [0.992-1.144],1.000,,Omega-3 Fatty Acids
XS-VLDL-FC,612,1.005 [0.922-1.094],1.000,,Free Cholesterol in Very Small VLDL
XS-VLDL-CE,620,0.992 [0.902-1.090],1.000,,Cholesteryl Esters in Very Small VLDL
S-HDL-C%,436,0.921 [0.834-1.018],1.000,,Cholesterol to Total-Lipids in Small HDL percentage
Clinical LDL-C,463,0.852 [0.756-0.959],1.000,,Clinical LDL Cholesterol
MUFA%,525,0.813 [0.749-0.882],0.158,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
LA,635,0.787 [0.711-0.871],0.906,,Linoleic Acid
