Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
His,43,1.021 [0.916-1.139],1.000,,Histidine
L-VLDL-TG%,369,1.015 [0.994-1.037],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
S-VLDL-FC%,609,1.006 [0.981-1.032],1.000,,Free Cholesterol to Total-Lipids in Small VLDL percentage
Ile,28,1.002 [0.887-1.132],1.000,,Isoleucine
XXL-VLDL-TG%,153,1.000 [0.972-1.029],1.000,,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-C%,225,0.995 [0.966-1.025],1.000,,Cholesterol to Total-Lipids in Medium LDL percentage
LDL-C,476,0.994 [0.969-1.019],1.000,,LDL Cholesterol
LDL-FC,411,0.989 [0.964-1.014],1.000,,Free Cholesterol in LDL
S-HDL-L,442,0.942 [0.906-0.979],1.000,,Total-Lipids in Small HDL
Acetone,15,0.841 [0.674-1.051],1.000,,Acetone
