Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
GlycA,385,1.202 [1.118-1.291],0.138,,Glycoprotein Acetyls
M-VLDL-TG,613,1.128 [1.078-1.180],0.047,*,Triglycerides in Medium VLDL
PUFA,699,1.117 [1.069-1.166],0.144,,Polyunsaturated Fatty Acids
Omega-3,420,1.106 [1.069-1.144],0.002,**,Omega-3 Fatty Acids
Omega-3%,215,1.092 [1.058-1.128],0.016,*,Omega-3 Fatty Acids to Total-Fatty Acids percentage
L-HDL-C,671,0.997 [0.957-1.039],1.000,,Cholesterol in Large HDL
XL-HDL-L,598,0.993 [0.953-1.034],1.000,,Total-Lipids in Very Large HDL
Omega-6/Omega-3,257,0.909 [0.879-0.940],0.005,**,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Omega-6%,366,0.845 [0.790-0.904],0.216,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
LA%,226,0.819 [0.775-0.864],1.574e-07,***,Linoleic Acid to Total-Fatty Acids percentage
