Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
3-Hydroxybutyrate,68,2.773 [1.903-4.041],0.027,*,3-Hydroxybutyrate
M-LDL-PL%,271,1.058 [0.938-1.194],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Gln,113,1.039 [0.870-1.240],1.000,,Glutamine
LA,635,1.035 [0.945-1.134],1.000,,Linoleic Acid
XL-HDL-CE%,259,1.028 [0.925-1.143],1.000,,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
S-VLDL-C%,527,0.999 [0.906-1.101],1.000,,Cholesterol to Total-Lipids in Small VLDL percentage
M-LDL-FC%,651,0.986 [0.902-1.079],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-HDL-CE,698,0.978 [0.903-1.059],1.000,,Cholesteryl Esters in Large HDL
HDL-C,621,0.934 [0.855-1.021],1.000,,HDL Cholesterol
Glu,32,0.632 [0.375-1.065],1.000,,Glucose
