Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
LA%,226,1.203 [0.949-1.525],1.000,,Linoleic Acid to Total-Fatty Acids percentage
IDL-PL%,289,1.175 [0.945-1.460],1.000,,Phospholipids to Total-Lipids in IDL percentage
L-HDL-C,671,1.132 [0.970-1.320],1.000,,Cholesterol in Large HDL
HDL-L,598,1.051 [0.881-1.256],1.000,,Total-Lipids in HDL
L-VLDL-CE%,492,1.038 [0.840-1.281],1.000,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
HDL-P,547,0.997 [0.803-1.238],1.000,,Concentration of HDL Particles
S-HDL-CE%,367,0.930 [0.802-1.078],1.000,,Cholesteryl Esters to Total-Lipids in Small HDL percentage
LDL-TG,630,0.847 [0.722-0.994],1.000,,Triglycerides in LDL
XS-VLDL-FC%,460,0.833 [0.671-1.032],1.000,,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
M-VLDL-P,612,0.680 [0.563-0.822],1.000,,Concentration of Medium VLDL Particles
