Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XL-VLDL-CE%,485,1.050 [0.992-1.111],1.000,,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
DHA%,240,1.043 [1.002-1.087],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
S-VLDL-CE%,509,1.039 [0.994-1.086],1.000,,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
L-HDL-CE%,562,1.015 [0.968-1.065],1.000,,Cholesteryl Esters to Total-Lipids in Large HDL percentage
L-VLDL-FC%,331,1.010 [0.963-1.058],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
VLDL-P,640,0.989 [0.953-1.026],1.000,,Concentration of VLDL Particles
XL-HDL-C%,306,0.985 [0.949-1.022],1.000,,Cholesterol to Total-Lipids in Very Large HDL percentage
L-LDL-TG,604,0.973 [0.943-1.003],1.000,,Triglycerides in Large LDL
L-LDL-CE%,344,0.948 [0.896-1.004],1.000,,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Gly,134,0.947 [0.901-0.994],1.000,,Glycine
