Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XL-VLDL-PL%,398,1.095 [1.054-1.138],0.713,,Phospholipids to Total-Lipids in Very Large VLDL percentage
VLDL-C,644,1.057 [1.022-1.092],1.000,,VLDL Cholesterol
L-HDL-TG%,637,1.055 [1.032-1.080],0.844,,Triglycerides to Total-Lipids in Large HDL percentage
L-VLDL-FC%,331,1.036 [1.003-1.070],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
XL-VLDL-TG%,444,1.032 [0.998-1.067],1.000,,Triglycerides to Total-Lipids in Very Large VLDL percentage
XL-HDL-FC,590,0.984 [0.961-1.007],1.000,,Free Cholesterol in Very Large HDL
M-HDL-P,598,0.957 [0.926-0.990],1.000,,Concentration of Medium HDL Particles
S-HDL-CE%,367,0.947 [0.926-0.968],0.332,,Cholesteryl Esters to Total-Lipids in Small HDL percentage
S-HDL-C%,436,0.942 [0.920-0.964],0.143,,Cholesterol to Total-Lipids in Small HDL percentage
S-HDL-C,410,0.931 [0.888-0.976],1.000,,Cholesterol in Small HDL
