Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Gly,134,1.144 [1.081-1.210],0.730,,Glycine
M-HDL-PL%,489,1.142 [1.084-1.203],0.154,,Phospholipids to Total-Lipids in Medium HDL percentage
L-VLDL-FC%,331,1.079 [1.023-1.139],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
S-HDL-TG%,677,1.048 [1.006-1.092],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
L-VLDL-C%,395,1.021 [0.970-1.075],1.000,,Cholesterol to Total-Lipids in Large VLDL percentage
S-VLDL-C%,527,0.984 [0.938-1.032],1.000,,Cholesterol to Total-Lipids in Small VLDL percentage
S-VLDL-FC,593,0.981 [0.938-1.027],1.000,,Free Cholesterol in Small VLDL
HDL-FC,599,0.906 [0.870-0.944],0.654,,Free Cholesterol in HDL
L-HDL-C%,622,0.897 [0.857-0.938],0.519,,Cholesterol to Total-Lipids in Large HDL percentage
Total-P,531,0.871 [0.826-0.919],0.090,,Total-Concentration of Lipoprotein Particles
