Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XXL-VLDL-TG,472,1.405 [1.226-1.609],0.230,,Triglycerides in Chylomicrons and Extremely Large VLDL
XXL-VLDL-L,514,1.378 [1.211-1.567],0.266,,Total-Lipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-PL,556,1.357 [1.201-1.533],0.244,,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-C,589,1.332 [1.184-1.498],0.421,,Cholesterol in Chylomicrons and Extremely Large VLDL
MUFA%,525,1.315 [1.180-1.465],0.166,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-FC%,651,0.761 [0.679-0.853],0.592,,Free Cholesterol to Total-Lipids in Medium LDL percentage
PUFA/MUFA,484,0.737 [0.653-0.830],0.139,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
XL-VLDL-C%,486,0.683 [0.589-0.792],0.108,,Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-VLDL-CE%,485,0.682 [0.588-0.791],0.099,,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
PUFA%,371,0.657 [0.563-0.767],0.024,*,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
