Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-LDL-PL%,510,1.125 [1.073-1.179],0.229,,Phospholipids to Total-Lipids in Small LDL percentage
PUFA/MUFA,484,1.071 [1.027-1.117],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
IDL-FC%,332,1.067 [1.011-1.126],1.000,,Free Cholesterol to Total-Lipids in IDL percentage
XL-HDL-PL,562,1.047 [1.011-1.085],1.000,,Phospholipids in Very Large HDL
XL-HDL-CE%,259,1.020 [0.972-1.069],1.000,,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
LDL-FC,411,1.000 [0.954-1.048],1.000,,Free Cholesterol in LDL
L-LDL-PL,492,0.995 [0.951-1.041],1.000,,Phospholipids in Large LDL
M-VLDL-FC%,574,0.983 [0.941-1.027],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
VLDL-P,640,0.941 [0.906-0.978],1.000,,Concentration of VLDL Particles
S-LDL-CE%,545,0.891 [0.853-0.930],0.045,*,Cholesteryl Esters to Total-Lipids in Small LDL percentage
