Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Leu,36,1.366 [0.961-1.943],1.000,,Leucine
S-LDL-C,489,1.182 [1.087-1.284],1.000,,Cholesterol in Small LDL
L-VLDL-CE%,492,1.128 [1.033-1.231],1.000,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
XXL-VLDL-FC,557,1.007 [0.925-1.095],1.000,,Free Cholesterol in Chylomicrons and Extremely Large VLDL
S-VLDL-TG,687,1.000 [0.928-1.078],1.000,,Triglycerides in Small VLDL
MUFA%,525,0.946 [0.874-1.024],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
HDL-L,598,0.898 [0.829-0.974],1.000,,Total-Lipids in HDL
XXL-VLDL-TG%,153,0.893 [0.797-1.000],1.000,,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-VLDL-TG%,609,0.881 [0.809-0.959],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
Lactate,22,0.836 [0.321-2.180],1.000,,Lactate
