Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
MUFA%,525,1.167 [1.082-1.258],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-LDL-CE%,545,1.150 [1.058-1.250],1.000,,Cholesteryl Esters to Total-Lipids in Small LDL percentage
XXL-VLDL-P,529,1.067 [0.978-1.165],1.000,,Concentration of Chylomicrons and Extremely Large VLDL Particles
LDL-TG,630,1.050 [0.982-1.124],1.000,,Triglycerides in LDL
M-HDL-L,576,1.005 [0.922-1.095],1.000,,Total-Lipids in Medium HDL
M-LDL-C%,225,0.962 [0.853-1.085],1.000,,Cholesterol to Total-Lipids in Medium LDL percentage
IDL-CE,553,0.959 [0.881-1.043],1.000,,Cholesteryl Esters in IDL
L-HDL-CE%,562,0.941 [0.864-1.025],1.000,,Cholesteryl Esters to Total-Lipids in Large HDL percentage
XL-HDL-FC,590,0.923 [0.859-0.992],1.000,,Free Cholesterol in Very Large HDL
Ile,28,0.774 [0.480-1.247],1.000,,Isoleucine
