Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XXL-VLDL-TG%,153,1.786 [1.310-2.435],1.000,,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-HDL-C%,622,1.484 [1.238-1.779],1.000,,Cholesterol to Total-Lipids in Large HDL percentage
Leu,36,1.301 [0.526-3.216],1.000,,Leucine
L-HDL-C,671,1.259 [1.076-1.474],1.000,,Cholesterol in Large HDL
S-LDL-PL,409,1.003 [0.838-1.200],1.000,,Phospholipids in Small LDL
L-LDL-C,488,0.860 [0.709-1.043],1.000,,Cholesterol in Large LDL
L-HDL-TG%,637,0.679 [0.576-0.800],0.913,,Triglycerides to Total-Lipids in Large HDL percentage
M-HDL-PL%,489,0.666 [0.540-0.821],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
Acetate,13,0.657 [0.114-3.784],1.000,,Acetate
XXL-VLDL-PL%,261,0.535 [0.413-0.693],0.529,,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
