Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XL-HDL-C,653,1.125 [1.032-1.227],1.000,,Cholesterol in Very Large HDL
S-LDL-TG%,594,1.106 [1.003-1.219],1.000,,Triglycerides to Total-Lipids in Small LDL percentage
TG/PG,632,1.085 [0.970-1.214],1.000,,Triglycerides to Phosphoglycerides ratio
IDL-TG%,635,1.070 [0.974-1.175],1.000,,Triglycerides to Total-Lipids in IDL percentage
M-HDL-C%,632,1.035 [0.931-1.150],1.000,,Cholesterol to Total-Lipids in Medium HDL percentage
Val,50,0.990 [0.678-1.444],1.000,,Valine
L-LDL-L,508,0.984 [0.890-1.088],1.000,,Total-Lipids in Large LDL
IDL-C%,558,0.930 [0.847-1.021],1.000,,Cholesterol to Total-Lipids in IDL percentage
His,43,0.615 [0.405-0.933],1.000,,Histidine
Ile,28,0.614 [0.321-1.174],1.000,,Isoleucine
