Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Acetate,13,1.254 [1.002-1.569],1.000,,Acetate
LA%,226,1.092 [1.067-1.118],4.359e-08,***,Linoleic Acid to Total-Fatty Acids percentage
Omega-6/Omega-3,257,1.055 [1.043-1.067],2.342e-14,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
M-VLDL-TG%,609,1.030 [1.010-1.051],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
S-HDL-TG%,677,1.010 [0.992-1.028],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
XS-VLDL-CE,620,0.956 [0.941-0.973],0.043,*,Cholesteryl Esters in Very Small VLDL
IDL-FC,587,0.949 [0.931-0.967],0.010,**,Free Cholesterol in IDL
IDL-P,505,0.949 [0.930-0.967],0.036,*,Concentration of IDL Particles
Omega-3%,215,0.949 [0.938-0.959],2.139e-14,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
IDL-CE,553,0.948 [0.931-0.966],0.002,**,Cholesteryl Esters in IDL
IDL-C,568,0.947 [0.930-0.965],0.001,**,Cholesterol in IDL
L-LDL-FC,474,0.946 [0.926-0.966],0.036,*,Free Cholesterol in Large LDL
Omega-3,420,0.945 [0.931-0.959],6.582e-09,***,Omega-3 Fatty Acids
Unsaturation,310,0.944 [0.931-0.957],4.911e-11,***,Degree of Unsaturation
Total-PL,628,0.941 [0.921-0.962],0.019,*,Total-Phospholipids in Lipoprotein Particles
M-VLDL-CE,487,0.940 [0.920-0.961],0.013,*,Cholesteryl Esters in Medium VLDL
M-VLDL-C,535,0.940 [0.918-0.962],0.048,*,Cholesterol in Medium VLDL
DHA,289,0.937 [0.923-0.951],2.614e-12,***,Docosahexaenoic Acid
Omega-6,651,0.937 [0.915-0.959],0.007,**,Omega-6 Fatty Acids
DHA%,240,0.936 [0.919-0.953],4.492e-07,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
Total-FA,654,0.934 [0.912-0.957],0.011,*,Total-Fatty Acids
PUFA,699,0.928 [0.909-0.948],1.150e-06,***,Polyunsaturated Fatty Acids
