Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Omega-6/Omega-3,257,1.107 [1.066-1.150],0.031,*,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Ala,85,1.084 [0.915-1.284],1.000,,Alanine
MUFA%,525,1.033 [0.979-1.089],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-FC%,460,1.029 [0.960-1.104],1.000,,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
S-LDL-PL,409,1.004 [0.948-1.062],1.000,,Phospholipids in Small LDL
M-LDL-CE%,368,0.961 [0.891-1.037],1.000,,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
L-HDL-PL,598,0.948 [0.903-0.995],1.000,,Phospholipids in Large HDL
Omega-3%,215,0.912 [0.879-0.946],0.172,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Omega-3,420,0.909 [0.875-0.944],0.185,,Omega-3 Fatty Acids
DHA,289,0.898 [0.859-0.940],0.809,,Docosahexaenoic Acid
