Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
IDL-PL%,289,1.068 [1.037-1.100],1.000,,Phospholipids to Total-Lipids in IDL percentage
PUFA/MUFA,484,1.067 [1.021-1.115],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Unsaturation,310,1.039 [1.016-1.061],1.000,,Degree of Unsaturation
Acetoacetate,15,1.033 [0.870-1.226],1.000,,Acetoacetate
XXL-VLDL-CE%,176,1.001 [0.964-1.039],1.000,,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XS-VLDL-PL%,375,0.995 [0.941-1.053],1.000,,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-HDL-TG,681,0.968 [0.927-1.011],1.000,,Triglycerides in Small HDL
LA%,226,0.921 [0.893-0.951],0.098,,Linoleic Acid to Total-Fatty Acids percentage
MUFA,654,0.859 [0.808-0.912],0.186,,Monounsaturated Fatty Acids
LA,635,0.856 [0.805-0.911],0.193,,Linoleic Acid
