Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XS-VLDL-FC%,460,1.161 [1.106-1.218],3.154e-04,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
PUFA%,371,1.157 [1.097-1.221],0.024,*,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
M-VLDL-FC%,574,1.140 [1.095-1.187],3.509e-05,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-LDL-C%,225,1.138 [1.086-1.193],0.013,*,Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-C%,604,1.127 [1.081-1.174],0.004,**,Cholesterol to Total-Lipids in Medium VLDL percentage
DHA%,240,1.125 [1.088-1.164],1.194e-06,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
L-LDL-C%,403,1.125 [1.076-1.176],0.047,*,Cholesterol to Total-Lipids in Large LDL percentage
XS-VLDL-C%,642,1.123 [1.081-1.168],8.742e-04,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,644,1.121 [1.079-1.165],0.002,**,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
PUFA/MUFA,484,1.120 [1.075-1.167],0.015,*,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
IDL-C,568,1.119 [1.080-1.159],1.115e-04,***,Cholesterol in IDL
IDL-FC,587,1.119 [1.080-1.159],1.539e-04,***,Free Cholesterol in IDL
IDL-CE,553,1.115 [1.076-1.156],5.290e-04,***,Cholesteryl Esters in IDL
M-VLDL-CE,487,1.114 [1.076-1.153],3.450e-04,***,Cholesteryl Esters in Medium VLDL
S-VLDL-FC%,609,1.113 [1.069-1.158],0.034,*,Free Cholesterol to Total-Lipids in Small VLDL percentage
Unsaturation,310,1.113 [1.083-1.143],8.619e-10,***,Degree of Unsaturation
IDL-P,505,1.106 [1.070-1.144],7.893e-04,***,Concentration of IDL Particles
L-LDL-FC,474,1.104 [1.065-1.144],0.014,*,Free Cholesterol in Large LDL
M-VLDL-C,535,1.103 [1.068-1.140],0.001,**,Cholesterol in Medium VLDL
IDL-L,573,1.101 [1.065-1.138],0.003,**,Total-Lipids in IDL
M-LDL-C,525,1.101 [1.062-1.140],0.026,*,Cholesterol in Medium LDL
Clinical LDL-C,463,1.100 [1.061-1.141],0.050,*,Clinical LDL Cholesterol
DHA,289,1.100 [1.069-1.132],9.665e-06,***,Docosahexaenoic Acid
L-LDL-C,488,1.099 [1.061-1.139],0.038,*,Cholesterol in Large LDL
L-LDL-PL,492,1.099 [1.060-1.138],0.048,*,Phospholipids in Large LDL
M-LDL-L,531,1.097 [1.060-1.137],0.050,*,Total-Lipids in Medium LDL
L-LDL-P,541,1.096 [1.062-1.131],0.003,**,Concentration of Large LDL Particles
Non-HDL-C,563,1.095 [1.059-1.132],0.028,*,Total-Cholesterol Minus HDL-C
Remnant-C,577,1.094 [1.059-1.131],0.018,*,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
ApoB,565,1.092 [1.058-1.128],0.012,*,Apolipoprotein B
IDL-PL,591,1.092 [1.058-1.127],0.008,**,Phospholipids in IDL
Omega-3%,215,1.092 [1.068-1.117],1.745e-09,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
LDL-P,552,1.091 [1.057-1.127],0.026,*,Concentration of LDL Particles
XS-VLDL-CE,620,1.083 [1.052-1.116],0.019,*,Cholesteryl Esters in Very Small VLDL
XS-VLDL-C,604,1.080 [1.049-1.111],0.031,*,Cholesterol in Very Small VLDL
Omega-3,420,1.075 [1.047-1.104],0.028,*,Omega-3 Fatty Acids
Omega-6/Omega-3,257,0.913 [0.892-0.934],5.219e-10,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
MUFA%,525,0.894 [0.861-0.928],6.344e-04,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-TG%,661,0.885 [0.852-0.919],5.269e-05,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-VLDL-TG%,609,0.884 [0.849-0.921],8.319e-04,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XL-VLDL-TG%,444,0.875 [0.834-0.919],0.017,*,Triglycerides to Total-Lipids in Very Large VLDL percentage
