Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Phe,17,1.322 [1.012-1.728],1.000,,Phenylalanine
Val,50,1.110 [0.920-1.340],1.000,,Valine
S-LDL-PL%,510,1.109 [1.045-1.178],1.000,,Phospholipids to Total-Lipids in Small LDL percentage
XXL-VLDL-C%,176,1.082 [0.989-1.184],1.000,,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Omega-3,420,1.010 [0.975-1.046],1.000,,Omega-3 Fatty Acids
L-LDL-C,488,0.961 [0.918-1.006],1.000,,Cholesterol in Large LDL
Total-L,626,0.921 [0.874-0.971],1.000,,Total-Lipids in Lipoprotein Particles
Omega-6,651,0.881 [0.838-0.926],0.141,,Omega-6 Fatty Acids
S-HDL-FC,483,0.860 [0.807-0.916],0.782,,Free Cholesterol in Small HDL
LA,635,0.852 [0.810-0.897],1.617e-04,***,Linoleic Acid
