Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-LDL-PL%,510,1.333 [1.190-1.494],0.161,,Phospholipids to Total-Lipids in Small LDL percentage
XL-VLDL-TG%,444,1.130 [1.034-1.234],1.000,,Triglycerides to Total-Lipids in Very Large VLDL percentage
L-LDL-C%,403,1.042 [0.963-1.128],1.000,,Cholesterol to Total-Lipids in Large LDL percentage
L-HDL-C%,622,1.040 [0.968-1.118],1.000,,Cholesterol to Total-Lipids in Large HDL percentage
S-VLDL-TG%,564,1.029 [0.953-1.112],1.000,,Triglycerides to Total-Lipids in Small VLDL percentage
VLDL-C,644,0.792 [0.719-0.872],0.511,,VLDL Cholesterol
Omega-6,651,0.776 [0.700-0.861],0.386,,Omega-6 Fatty Acids
MUFA,654,0.760 [0.684-0.844],0.074,,Monounsaturated Fatty Acids
LA,635,0.749 [0.676-0.830],0.008,**,Linoleic Acid
S-LDL-CE%,545,0.737 [0.662-0.820],0.005,**,Cholesteryl Esters to Total-Lipids in Small LDL percentage
