Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Acetone,15,4.043 [2.246-7.277],0.772,,Acetone
Gln,113,1.106 [0.953-1.284],1.000,,Glutamine
L-LDL-FC%,687,1.064 [0.985-1.149],1.000,,Free Cholesterol to Total-Lipids in Large LDL percentage
Omega-6%,366,1.037 [0.933-1.152],1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
S-VLDL-FC,593,1.004 [0.929-1.084],1.000,,Free Cholesterol in Small VLDL
M-LDL-TG,658,0.978 [0.914-1.046],1.000,,Triglycerides in Medium LDL
ApoB/ApoA1,542,0.968 [0.896-1.046],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
XXL-VLDL-C,589,0.927 [0.858-1.002],1.000,,Cholesterol in Chylomicrons and Extremely Large VLDL
L-HDL-TG%,637,0.921 [0.859-0.987],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
S-HDL-C,410,0.920 [0.834-1.014],1.000,,Cholesterol in Small HDL
