Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XXL-VLDL-PL,556,1.034 [1.013-1.055],1.000,,Phospholipids in Chylomicrons and Extremely Large VLDL
XL-VLDL-TG,570,1.028 [1.007-1.049],1.000,,Triglycerides in Very Large VLDL
TG/PG,632,1.027 [1.007-1.047],1.000,,Triglycerides to Phosphoglycerides ratio
Omega-6/Omega-3,257,1.024 [1.014-1.033],0.417,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
S-HDL-PL,489,1.010 [0.984-1.036],1.000,,Phospholipids in Small HDL
LDL-L,502,0.997 [0.977-1.018],1.000,,Total-Lipids in LDL
ApoA1,587,0.994 [0.978-1.010],1.000,,Apolipoprotein A1
Omega-3%,215,0.975 [0.966-0.984],0.035,*,Omega-3 Fatty Acids to Total-Fatty Acids percentage
DHA,289,0.971 [0.960-0.983],0.178,,Docosahexaenoic Acid
Unsaturation,310,0.968 [0.955-0.981],0.310,,Degree of Unsaturation
