Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XXL-VLDL-FC,557,1.081 [0.949-1.231],1.000,,Free Cholesterol in Chylomicrons and Extremely Large VLDL
L-HDL-C,671,1.069 [0.957-1.194],1.000,,Cholesterol in Large HDL
S-VLDL-L,665,1.045 [0.933-1.171],1.000,,Total-Lipids in Small VLDL
VLDL-L,623,1.023 [0.905-1.156],1.000,,Total-Lipids in VLDL
L-VLDL-PL%,580,1.011 [0.904-1.130],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
S-LDL-FC%,578,0.858 [0.764-0.965],1.000,,Free Cholesterol to Total-Lipids in Small LDL percentage
His,43,0.738 [0.399-1.363],1.000,,Histidine
XS-VLDL-FC%,460,0.706 [0.611-0.816],0.631,,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
IDL-FC%,332,0.687 [0.586-0.805],0.868,,Free Cholesterol to Total-Lipids in IDL percentage
M-LDL-C%,225,0.646 [0.542-0.771],0.293,,Cholesterol to Total-Lipids in Medium LDL percentage
