Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
SFA%,94,1.081 [1.010-1.157],1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-FC%,460,1.020 [0.994-1.047],1.000,,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
IDL-FC%,332,1.017 [0.989-1.046],1.000,,Free Cholesterol to Total-Lipids in IDL percentage
L-VLDL-CE%,492,1.014 [0.990-1.039],1.000,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
L-VLDL-FC,648,1.002 [0.977-1.027],1.000,,Free Cholesterol in Large VLDL
M-LDL-PL,492,0.999 [0.974-1.025],1.000,,Phospholipids in Medium LDL
VLDL-L,623,0.999 [0.974-1.025],1.000,,Total-Lipids in VLDL
Leu,36,0.978 [0.846-1.130],1.000,,Leucine
LA%,226,0.934 [0.910-0.960],0.145,,Linoleic Acid to Total-Fatty Acids percentage
LA,635,0.932 [0.909-0.955],0.006,**,Linoleic Acid
