Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
IDL-C,568,1.027 [0.987-1.069],1.000,,Cholesterol in IDL
M-HDL-CE,607,1.018 [0.972-1.065],1.000,,Cholesteryl Esters in Medium HDL
PUFA%,371,1.014 [0.965-1.066],1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-CE,620,1.006 [0.973-1.040],1.000,,Cholesteryl Esters in Very Small VLDL
DHA,289,1.006 [0.975-1.038],1.000,,Docosahexaenoic Acid
ApoB,565,0.990 [0.951-1.031],1.000,,Apolipoprotein B
Albumin,72,0.956 [0.819-1.117],1.000,,Albumin
S-HDL-TG,681,0.937 [0.902-0.973],1.000,,Triglycerides in Small HDL
LA,635,0.900 [0.862-0.941],0.591,,Linoleic Acid
Lactate,22,0.888 [0.688-1.146],1.000,,Lactate
