Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-LDL-C%,261,1.122 [1.039-1.212],1.000,,Cholesterol to Total-Lipids in Small LDL percentage
S-HDL-L,442,1.042 [0.982-1.106],1.000,,Total-Lipids in Small HDL
M-VLDL-FC%,574,1.024 [0.968-1.084],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
IDL-L,573,1.007 [0.960-1.057],1.000,,Total-Lipids in IDL
L-LDL-TG,604,1.001 [0.959-1.044],1.000,,Triglycerides in Large LDL
LDL-TG,630,1.000 [0.958-1.044],1.000,,Triglycerides in LDL
M-LDL-P,508,0.989 [0.937-1.043],1.000,,Concentration of Medium LDL Particles
Remnant-C,577,0.986 [0.939-1.036],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
S-LDL-PL%,510,0.983 [0.926-1.043],1.000,,Phospholipids to Total-Lipids in Small LDL percentage
L-HDL-PL,598,0.926 [0.883-0.971],1.000,,Phospholipids in Large HDL
