Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
LA,635,1.100 [1.071-1.129],4.548e-07,***,Linoleic Acid
LA%,226,1.100 [1.066-1.134],3.822e-04,***,Linoleic Acid to Total-Fatty Acids percentage
Omega-6,651,1.077 [1.048-1.106],0.017,*,Omega-6 Fatty Acids
MUFA,654,1.069 [1.040-1.099],0.440,,Monounsaturated Fatty Acids
Omega-6/Omega-3,257,1.039 [1.022-1.055],0.591,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
His,43,0.996 [0.894-1.110],1.000,,Histidine
XS-VLDL-TG%,661,0.988 [0.965-1.012],1.000,,Triglycerides to Total-Lipids in Very Small VLDL percentage
PUFA%,371,0.979 [0.950-1.010],1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
SFA%,94,0.968 [0.884-1.061],1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
Acetone,15,0.887 [0.703-1.120],1.000,,Acetone
