Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Total-P,531,1.038 [1.011-1.065],1.000,,Total-Concentration of Lipoprotein Particles
Citrate,102,1.029 [0.948-1.116],1.000,,Citrate
XXL-VLDL-FC%,173,1.024 [0.986-1.065],1.000,,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XS-VLDL-TG%,661,1.024 [0.998-1.049],1.000,,Triglycerides to Total-Lipids in Very Small VLDL percentage
L-HDL-L,623,1.001 [0.982-1.020],1.000,,Total-Lipids in Large HDL
XS-VLDL-P,622,0.990 [0.971-1.009],1.000,,Concentration of Very Small VLDL Particles
XL-VLDL-C%,486,0.985 [0.952-1.018],1.000,,Cholesterol to Total-Lipids in Very Large VLDL percentage
M-VLDL-C%,604,0.985 [0.958-1.013],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
M-LDL-C,525,0.973 [0.948-0.999],1.000,,Cholesterol in Medium LDL
S-LDL-C,489,0.970 [0.944-0.996],1.000,,Cholesterol in Small LDL
