Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-LDL-TG%,456,1.025 [1.000-1.052],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-VLDL-TG%,609,1.024 [0.996-1.053],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
L-VLDL-PL,637,1.021 [0.982-1.060],1.000,,Phospholipids in Large VLDL
Non-HDL-C,563,1.011 [0.969-1.055],1.000,,Total-Cholesterol Minus HDL-C
IDL-C%,558,1.004 [0.976-1.032],1.000,,Cholesterol to Total-Lipids in IDL percentage
XL-HDL-FC,590,0.976 [0.954-0.998],1.000,,Free Cholesterol in Very Large HDL
M-HDL-P,598,0.967 [0.933-1.002],1.000,,Concentration of Medium HDL Particles
Total-PL,628,0.962 [0.921-1.005],1.000,,Total-Phospholipids in Lipoprotein Particles
L-LDL-CE%,344,0.943 [0.902-0.987],1.000,,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Phe,17,0.929 [0.789-1.092],1.000,,Phenylalanine
