Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XL-VLDL-TG,570,1.049 [0.999-1.102],1.000,,Triglycerides in Very Large VLDL
L-LDL-C,488,1.016 [0.969-1.065],1.000,,Cholesterol in Large LDL
S-VLDL-TG%,564,1.006 [0.960-1.055],1.000,,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-FC%,574,1.006 [0.959-1.055],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
Leu,36,1.003 [0.783-1.286],1.000,,Leucine
S-LDL-PL,409,0.999 [0.956-1.044],1.000,,Phospholipids in Small LDL
L-HDL-FC,638,0.998 [0.961-1.037],1.000,,Free Cholesterol in Large HDL
XL-VLDL-TG%,444,0.994 [0.938-1.053],1.000,,Triglycerides to Total-Lipids in Very Large VLDL percentage
XS-VLDL-C%,642,0.981 [0.938-1.026],1.000,,Cholesterol to Total-Lipids in Very Small VLDL percentage
Pyruvate,37,0.863 [0.707-1.054],1.000,,Pyruvate
