Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
PUFA%,371,1.179 [1.117-1.244],6.490e-04,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
M-VLDL-C%,604,1.130 [1.080-1.181],0.027,*,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,597,1.125 [1.076-1.177],0.073,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
PUFA/MUFA,484,1.121 [1.075-1.170],0.021,*,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
XS-VLDL-C%,642,1.121 [1.075-1.168],0.019,*,Cholesterol to Total-Lipids in Very Small VLDL percentage
S-LDL-CE,543,0.994 [0.950-1.040],1.000,,Cholesteryl Esters in Small LDL
M-LDL-TG,658,0.963 [0.926-1.002],1.000,,Triglycerides in Medium LDL
IDL-TG%,635,0.930 [0.896-0.966],1.000,,Triglycerides to Total-Lipids in IDL percentage
XS-VLDL-TG%,661,0.894 [0.858-0.932],0.023,*,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-VLDL-TG%,609,0.892 [0.853-0.933],0.156,,Triglycerides to Total-Lipids in Medium VLDL percentage
