Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
PUFA/MUFA,484,1.021 [0.976-1.068],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Phe,17,1.020 [0.887-1.174],1.000,,Phenylalanine
Total-BCAA,38,1.020 [0.923-1.127],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
M-LDL-TG%,456,1.017 [0.987-1.047],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
XL-VLDL-TG%,444,1.012 [0.981-1.045],1.000,,Triglycerides to Total-Lipids in Very Large VLDL percentage
PUFA,699,0.812 [0.754-0.875],0.009,**,Polyunsaturated Fatty Acids
Total-FA,654,0.807 [0.743-0.875],0.061,,Total-Fatty Acids
LA,635,0.799 [0.733-0.870],0.068,,Linoleic Acid
Omega-6,651,0.796 [0.732-0.866],0.024,*,Omega-6 Fatty Acids
MUFA,654,0.787 [0.724-0.856],0.006,**,Monounsaturated Fatty Acids
