Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
DHA%,240,1.145 [1.099-1.193],2.094e-05,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
Unsaturation,310,1.124 [1.087-1.162],1.096e-06,***,Degree of Unsaturation
Omega-3%,215,1.105 [1.074-1.138],3.496e-06,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-CE,620,1.060 [1.014-1.108],1.000,,Cholesteryl Esters in Very Small VLDL
S-LDL-C,489,1.013 [0.957-1.071],1.000,,Cholesterol in Small LDL
VLDL-TG,582,0.969 [0.913-1.029],1.000,,Triglycerides in VLDL
XXL-VLDL-CE%,176,0.969 [0.900-1.043],1.000,,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
VLDL-size,604,0.960 [0.914-1.007],1.000,,Average Diameter for VLDL Particles
Omega-6/Omega-3,257,0.903 [0.876-0.930],5.726e-06,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
MUFA%,525,0.868 [0.818-0.921],0.647,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
