Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-HDL-PL,489,1.317 [1.055-1.645],1.000,,Phospholipids in Small HDL
PC,606,1.277 [1.072-1.522],1.000,,Phosphatidylcholines
LDL-TG,630,1.243 [1.063-1.453],1.000,,Triglycerides in LDL
XL-VLDL-PL%,398,1.081 [0.870-1.342],1.000,,Phospholipids to Total-Lipids in Very Large VLDL percentage
S-LDL-L,511,1.004 [0.824-1.224],1.000,,Total-Lipids in Small LDL
LDL-L,502,0.973 [0.798-1.186],1.000,,Total-Lipids in LDL
DHA%,240,0.965 [0.813-1.145],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
L-VLDL-TG%,369,0.947 [0.788-1.139],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
M-VLDL-PL%,523,0.811 [0.667-0.985],1.000,,Phospholipids to Total-Lipids in Medium VLDL percentage
M-HDL-CE%,557,0.749 [0.628-0.894],1.000,,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
