Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Tyr,120,1.220 [1.099-1.355],1.000,,Tyrosine
HDL-CE,611,1.074 [1.021-1.129],1.000,,Cholesteryl Esters in HDL
XL-HDL-FC,590,1.064 [1.023-1.106],1.000,,Free Cholesterol in Very Large HDL
L-LDL-FC%,687,1.050 [0.989-1.116],1.000,,Free Cholesterol to Total-Lipids in Large LDL percentage
M-LDL-FC%,651,1.027 [0.972-1.086],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
IDL-C,568,0.983 [0.931-1.037],1.000,,Cholesterol in IDL
IDL-TG,602,0.975 [0.917-1.035],1.000,,Triglycerides in IDL
VLDL-P,640,0.965 [0.892-1.043],1.000,,Concentration of VLDL Particles
MUFA%,525,0.956 [0.908-1.007],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-LDL-P,566,0.950 [0.877-1.028],1.000,,Concentration of Small LDL Particles
