Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
L-HDL-PL%,508,1.063 [0.995-1.136],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
MUFA%,525,1.040 [0.987-1.095],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-TG%,637,1.023 [0.973-1.076],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
HDL-TG,593,1.001 [0.955-1.048],1.000,,Triglycerides in HDL
Gln,113,1.000 [0.898-1.115],1.000,,Glutamine
Ala,85,0.984 [0.817-1.186],1.000,,Alanine
S-LDL-C%,261,0.975 [0.891-1.067],1.000,,Cholesterol to Total-Lipids in Small LDL percentage
IDL-C%,558,0.964 [0.916-1.015],1.000,,Cholesterol to Total-Lipids in IDL percentage
XS-VLDL-L,632,0.953 [0.911-0.996],1.000,,Total-Lipids in Very Small VLDL
M-HDL-FC,597,0.952 [0.900-1.007],1.000,,Free Cholesterol in Medium HDL
