Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-VLDL-FC,594,1.114 [1.068-1.162],0.113,,Free Cholesterol in Medium VLDL
M-VLDL-PL,632,1.111 [1.066-1.157],0.141,,Phospholipids in Medium VLDL
VLDL-PL,674,1.103 [1.063-1.145],0.062,,Phospholipids in VLDL
S-LDL-CE%,545,1.101 [1.060-1.145],0.224,,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Total-FA,654,1.097 [1.057-1.138],0.229,,Total-Fatty Acids
M-HDL-L,576,0.993 [0.953-1.034],1.000,,Total-Lipids in Medium HDL
HDL-PL,590,0.992 [0.955-1.030],1.000,,Phospholipids in HDL
L-LDL-C%,403,0.992 [0.949-1.037],1.000,,Cholesterol to Total-Lipids in Large LDL percentage
M-HDL-CE,607,0.968 [0.928-1.009],1.000,,Cholesteryl Esters in Medium HDL
M-HDL-C%,632,0.949 [0.916-0.984],1.000,,Cholesterol to Total-Lipids in Medium HDL percentage
