Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-LDL-CE%,368,1.059 [0.987-1.136],1.000,,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
S-LDL-C,489,1.049 [0.991-1.111],1.000,,Cholesterol in Small LDL
VLDL-L,623,1.048 [0.992-1.108],1.000,,Total-Lipids in VLDL
XS-VLDL-P,622,1.038 [0.993-1.085],1.000,,Concentration of Very Small VLDL Particles
IDL-TG,602,1.016 [0.972-1.062],1.000,,Triglycerides in IDL
L-HDL-CE,698,0.978 [0.932-1.025],1.000,,Cholesteryl Esters in Large HDL
IDL-FC%,332,0.974 [0.907-1.046],1.000,,Free Cholesterol to Total-Lipids in IDL percentage
M-HDL-FC,597,0.955 [0.903-1.010],1.000,,Free Cholesterol in Medium HDL
L-LDL-C%,403,0.946 [0.888-1.007],1.000,,Cholesterol to Total-Lipids in Large LDL percentage
His,43,0.838 [0.656-1.071],1.000,,Histidine
