Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Phe,17,1.156 [0.958-1.395],1.000,,Phenylalanine
LA,635,1.075 [1.044-1.107],0.317,,Linoleic Acid
MUFA%,525,1.071 [1.041-1.102],0.444,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-HDL-P,598,1.064 [1.031-1.099],1.000,,Concentration of Medium HDL Particles
Omega-6/Omega-3,257,1.046 [1.026-1.066],0.771,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Omega-3%,215,0.954 [0.936-0.973],0.464,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Unsaturation,310,0.944 [0.924-0.965],0.070,,Degree of Unsaturation
DHA%,240,0.932 [0.906-0.960],0.579,,Docosahexaenoic Acid to Total-Fatty Acids percentage
L-LDL-PL%,382,0.927 [0.901-0.954],0.048,*,Phospholipids to Total-Lipids in Large LDL percentage
XS-VLDL-FC%,460,0.907 [0.871-0.943],0.327,,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
