Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-VLDL-TG%,609,1.078 [1.001-1.161],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
M-HDL-CE%,557,1.070 [1.006-1.137],1.000,,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
M-LDL-L,531,1.061 [0.989-1.137],1.000,,Total-Lipids in Medium LDL
IDL-PL%,289,1.017 [0.944-1.096],1.000,,Phospholipids to Total-Lipids in IDL percentage
Omega-6,651,1.006 [0.945-1.072],1.000,,Omega-6 Fatty Acids
XL-VLDL-L,578,0.990 [0.923-1.062],1.000,,Total-Lipids in Very Large VLDL
S-HDL-FC%,491,0.979 [0.929-1.033],1.000,,Free Cholesterol to Total-Lipids in Small HDL percentage
M-HDL-TG%,657,0.945 [0.891-1.001],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
DHA,289,0.874 [0.826-0.925],0.683,,Docosahexaenoic Acid
DHA%,240,0.843 [0.791-0.899],0.043,*,Docosahexaenoic Acid to Total-Fatty Acids percentage
