Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Acetate,13,1.787 [0.810-3.945],1.000,,Acetate
His,43,1.217 [0.887-1.670],1.000,,Histidine
S-VLDL-C%,527,1.054 [0.978-1.136],1.000,,Cholesterol to Total-Lipids in Small VLDL percentage
S-VLDL-PL%,600,1.038 [0.966-1.116],1.000,,Phospholipids to Total-Lipids in Small VLDL percentage
S-HDL-P,416,1.029 [0.942-1.124],1.000,,Concentration of Small HDL Particles
IDL-C,568,0.990 [0.920-1.065],1.000,,Cholesterol in IDL
M-HDL-CE%,557,0.977 [0.914-1.044],1.000,,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
S-LDL-FC,410,0.954 [0.888-1.025],1.000,,Free Cholesterol in Small LDL
M-LDL-TG%,456,0.945 [0.887-1.006],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
HDL-size,600,0.936 [0.883-0.992],1.000,,Average Diameter for HDL Particles
