Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Albumin,72,1.404 [0.789-2.498],1.000,,Albumin
M-VLDL-PL,632,1.261 [1.082-1.470],1.000,,Phospholipids in Medium VLDL
L-HDL-C,671,1.152 [1.011-1.314],1.000,,Cholesterol in Large HDL
XL-VLDL-L,578,1.111 [0.946-1.305],1.000,,Total-Lipids in Very Large VLDL
IDL-TG,602,1.101 [0.979-1.239],1.000,,Triglycerides in IDL
PUFA%,371,0.987 [0.788-1.237],1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-VLDL-TG%,369,0.983 [0.847-1.142],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
XXL-VLDL-PL%,261,0.950 [0.742-1.215],1.000,,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Gly,134,0.855 [0.710-1.030],1.000,,Glycine
Leu,36,0.698 [0.307-1.586],1.000,,Leucine
